employee_id,department,job_title,salary,years_experience,performance_score,is_remote,hire_year
EMP0001,Marketing,Marketing Analyst,87184,15,3.9,False,2017
EMP0002,Operations,Operations Manager,95000,20,3.8,False,2019
EMP0003,HR,HR Manager,62223,11,4.1,True,2022
EMP0004,Engineering,Engineering Manager,128805,18,3.4,True,2023
EMP0005,Engineering,Tech Lead,118501,16,3.7,True,2017
EMP0006,Sales,Sales Manager,96033,13,3.4,True,2017
EMP0007,Marketing,Content Strategist,38000,2,3.6,True,2020
EMP0008,Operations,Operations Analyst,40000,0,3.6,True,2024
EMP0009,Customer Support,Support Agent,58159,15,2.3,True,2024
EMP0010,HR,HR Director,59861,12,3.8,True,2015
EMP0011,Finance,Accountant,93534,11,3.0,False,2018
EMP0012,Engineering,Junior Engineer,134632,20,3.0,True,2019
EMP0013,Sales,Sales Rep,77726,12,3.5,True,2015
EMP0014,Marketing,Campaign Manager,80465,14,2.6,True,2021
EMP0015,Operations,Operations Analyst,73302,10,3.5,True,2017
EMP0016,Customer Support,Senior Support Agent,31089,0,4.6,True,2018
EMP0017,Operations,Operations Analyst,86938,18,3.5,False,2015
EMP0018,HR,HR Manager,72698,17,2.8,True,2016
EMP0019,Operations,Operations Analyst,40831,1,2.8,True,2016
EMP0020,Finance,Finance Manager,96490,15,3.0,False,2015
EMP0021,Marketing,CMO,45227,3,3.0,False,2017
EMP0022,HR,HR Coordinator,74512,16,3.2,True,2016
EMP0023,HR,Recruiter,83713,19,4.0,False,2018
EMP0024,Marketing,CMO,69264,9,4.2,True,2022
EMP0025,Marketing,Content Strategist,40152,0,3.5,True,2024
EMP0026,Operations,Operations Manager,59260,4,3.1,True,2016
EMP0027,Marketing,Content Strategist,85579,14,3.5,True,2015
EMP0028,Engineering,Software Engineer,61831,1,3.0,False,2020
EMP0029,HR,HR Coordinator,48745,3,2.3,True,2017
EMP0030,Operations,COO,48719,5,4.8,False,2019
EMP0031,Operations,Operations Analyst,71511,11,3.1,True,2021
EMP0032,HR,HR Manager,62897,12,2.8,True,2017
EMP0033,Engineering,Software Engineer,68579,1,3.3,True,2021
EMP0034,Finance,CFO,106625,18,3.1,True,2020
EMP0035,Finance,Financial Analyst,53246,4,3.6,True,2022
EMP0036,Engineering,Junior Engineer,86557,8,3.4,False,2023
EMP0037,Customer Support,Support Manager,60916,18,3.0,False,2020
EMP0038,Finance,Financial Analyst,88509,13,3.1,True,2021
EMP0039,Sales,Sales Rep,40000,0,3.2,True,2022
EMP0040,Customer Support,Support Agent,33540,2,2.9,True,2019
EMP0041,Engineering,Engineering Manager,78366,7,3.3,True,2016
EMP0042,HR,HR Director,70665,18,3.9,True,2020
EMP0043,Engineering,Tech Lead,135000,20,3.6,True,2023
EMP0044,Finance,Financial Analyst,55334,2,1.8,False,2019
EMP0045,Finance,Accountant,109197,20,2.0,True,2015
